Hierarchical Optimal Control of MDPs| Abstract Fundamental to reinforcement learning, as well as to the
A Nonlinear Predictive State Representation| Abstract Predictive state representations (PSRs) use predictions of a set of tests to represent the state of controlled dynamical systems.  One reason why this representation is exciting as an alternative to partially observable Markov decision processes (POMDPs) is that PSR models of dynamical systems may be much more compact than POMDP models.  Empirical work on PSRs to date has focused on linear PSRs, which have not allowed for compression relative to POMDPs.  We introduce a new notion of tests which allows us to define a new type of PSR that is nonlinear in general and allows for exponential compression in some deterministic dynamical systems.  These new tests, called e-tests, are related to the tests used by Rivest and Schapire [1] in their work with the diversity representation, but our PSR avoids some of the pitfalls of their representation---in particular, its potential to be exponentially larger than the equivalent POMDP. 
Improving Policies without Measuring Merits| Abstract Performing policy iteration in dynamic programming should only require knowledge of relative rather than absolute measures of the utility of actions -- what Baird (1993) calls the advantages of actions at states.  Nevertheless, existing methods in dynamic programming (including Baird's) compute some form of absolute utility function.  For smooth problems, advantages satisfy two differential consistency conditions (including the requirement that they be free of curl), and we show that enforcing these can lead to appropriate policy improvement solely in terms of advantages. 
Approximately Efficient Online Mechanism Design| Abstract Online mechanism design (OMD) addresses the problem of sequential decision making in a stochastic environment with multiple self-interested agents.  The goal in OMD is to make value-maximizing decisions despite this self-interest.  In previous work we presented a Markov decision process (MDP)-based approach to OMD in large-scale problem domains.  In practice the underlying MDP needed to solve OMD is too large and hence the mechanism must consider approximations.  This raises the possibility that agents may be able to exploit the approximation for selfish gain.  We adopt sparse-sampling-based MDP algorithms to implement #efficient policies, and retain truth-revelation as an approximate BayesianNash equilibrium.  Our approach is empirically illustrated in the context of the dynamic allocation of WiFi connectivity to users in a coffeehouse. 
Improved Switching among Temporally Abstract Actions| Abstract In robotics and other control applications it is commonplace to have a preexisting set of controllers for solving subtasks, perhaps hand-crafted or previously learned or planned, and still face a difficult problem of how to choose and switch among the controllers to solve an overall task as well as possible.  In this paper we present a framework based on Markov decision processes and semi-Markov decision processes for phrasing this problem, a basic theorem regarding the improvement in performance that can be obtained by switching flexibly between given controllers, and example applications of the theorem.  In particular, we show how an agent can plan with these high-level controllers and then use the results of such planning to find an even better plan, by modifying the existing controllers, with negligible additional cost and no re-planning.  In one of our examples, the complexity of the problem is reduced from 24 billion state-action pairs to less than a million state-controller pairs.  In many applications, solutions to parts of a task are known, either because they were handcrafted by people or because they were previously learned or planned.  For example, in robotics applications, there may exist controllers for moving joints to positions, picking up objects, controlling eye movements, or navigating along hallways.  More generally, an intelligent system may have available to it several temporally extended courses of action to choose from.  In such cases, a key challenge is to take full advantage of the existing temporally extended actions, to choose or switch among them effectively, and to plan at their level rather than at the level of individual actions.  Recently, several researchers have begun to address these challenges within the framework of reinforcement learning and Markov decision processes (e. g. , Singh, 1992; Kaelbling, 1993; Dayan & Hinton, 1993; Thrun and Schwartz, 1995; Sutton, 1995; Dietterich, 1998; Parr & Russell, 1998; McGovern, Sutton & Fagg, 1997).  Common to much of this recent work is the modeling of a temporally extended action as a policy (controller) and a condition for terminating, which we together refer to as an option (Sutton, Precup & Singh, 1998).  In this paper we consider the problem of effectively combining given options into one overall policy, generalizing prior work by Kaelbling (1993).  Sections 1--3 introduce the framework; our new results are in Sections 4 and 5.  1 Reinforcement Learning (MDP) Framework In a Markov decision process (MDP), an agent interacts with an environment at some discrete, lowest-level time scale t = 0; 1; 2; : : : On each time step, the agent perceives the state of the environment, s t 2 S, and on that basis chooses a primitive action, a t 2 A.  In response to each action, a t , the environment produces one step later a numerical reward, r t+1 , and a next state, s t+1 .  The one-step model of the environment consists of the one-step statetransition probabilities and the one-step expected rewards, p a ss 0 = Prfs t+1 = s 0 j s t = s; a t = ag and r a s = Efr t+1 j s t = s; a t = ag; for all s; s 0 2 S and a 2 A.  The agent's objective is to learn an optimal Markov policy, a mapping from states to probabilities of taking each available primitive action, : S \Theta A ! [0; 1], that maximizes the expected discounted future reward from each state s: V (s) = E n r t+1 + flr t+2 + \Delta \Delta \Delta fi fi fi s t = s; o = X a2As (s; a)[r a s + fl X s 0 p a ss 0 V (s 0 )]; where (s; a) is the probability with which the policy chooses action a 2 A s in state s, and fl 2 [0; 1] is a discount-rate parameter.  V (s) is called the value of state s under policy , and V is called the state-value function for .  The optimal state-value function gives the value of a state under an optimal policy: V \Lambda (s) = max V (s) = max a2As [r a s + fl P s 0 p a ss 0 V \Lambda (s 0 )].  Given V \Lambda , an optimal policy is easily formed by choosing in each state s any action that achieves the maximum in this equation.  A parallel set of value functions, denoted Q and Q \Lambda , and Bellman equations can be defined for state-action pairs, rather than for states.  Planning in reinforcement learning refers to the use of models of the environment to compute value functions and thereby to optimize or improve policies.  2 Options We use the term options for our generalization of primitive actions to include temporally extended courses of action.  Let h t;T = s t ; a t ; r t+1 ; s t+1 ; a t+1 ; : : : ; r T ; s T be the history sequence from time t T to time T , and let \Omega denote the set of all possible histories in the given MDP.  Options consist of three components: an initiation set I ` S, a policy : \Omega \Theta A ! [0; 1], and a termination condition fi : \Omega ! [0; 1].  An option o = hI; ; fii can be taken in state s if and only if s 2 I.  If o is taken in state s t , the next action a t is selected according to (s t ; \Delta).  The environment then makes a transition to s t+1 , where o terminates with probability fi(h t;t+1 ), or else continues, determining a t+1 according to (h t;t+1 ; \Delta), and transitioning to state s t+2 , where o terminates with probability fi(h t;t+2 ) etc.  We call the general options defined above semi-Markov because and fi depend on the history sequence; in Markov options and fi depend only on the current state.  Semi-Markov options allow "timeouts", i. e. , termination after some period of time has elapsed, and other extensions which cannot be handled by Markov options.  The initiation set and termination condition of an option together limit the states over which the option's policy must be defined.  For example, a hand-crafted policy for a mobile robot to dock with its battery charger might be defined only for states I in which the battery charger is within sight.  The termination condition fi would be defined to be 1 outside of I and when the robot is successfully docked.  We can now define policies over options.  Let the set of options available in state s be denoted O s ; the set of all options is denoted O = S s2S O s .  When initiated in a state s t , the Markov policy over options : S \Theta O ! [0; 1] selects an option o 2 O s t according to the probability distribution (s t ; \Delta).  The option o is then taken in s t , determining actions until it terminates in s t+k , at which point a new option is selected, according to (s t+k ; \Delta), and so on.  In this way a policy over options, , determines a (non-stationary) policy over actions, or flat policy, = f().  We define the value of a state s under a general flat policy as the expected return
Finite-Sample Convergence Rates for Q-Learning and Indirect Algorithms| Abstract In this paper, we address two issues of long-standing interest in the reinforcement learning literature.  First, what kinds of performance guarantees can be made for Q-learning after only a finite number of actions? Second, what quantitative comparisons can be made between Q-learning and model-based (indirect) approaches, which use experience to estimate next-state distributions for off-line value iteration? We first show that both Q-learning and the indirect approach enjoy rather rapid convergence to the optimal policy as a function of the number of state transitions observed.  In particular, on the order of only (N log(1=#)=# 2 )(log(N) + log log(1=#)) transitions are sufficient for both algorithms to come within # of the optimal policy, in an idealized model that assumes the observed transitions are \well-mixed" throughout an N-state MDP. Thus, the two approaches have roughly the same sample complexity. Perhaps surprisingly, this sample complexity is far less than what is required for the model-based approach to actually construct a good approximation to the next-state distribution.  The result also shows that the amount of memory required by the model-based approach is closer to N than to N 2 .  For either approach, to remove the assumption that the observed transitions are well-mixed, we consider a model in which the transitions are determined by a fixed, arbitrary exploration policy.  Bounds on the number of transitions required in order to achieve a desired level of performance are then related to the stationary distribution and mixing time of this policy. 
Hybrid Sort-First and Sort-Last Parallel Rendering with a Cluster of PCs| Abstract We investigate a new hybrid of sort-first and sort-last approach for parallel polygon rendering, using as a target platform a cluster of PCs.  Unlike previous methods that statically partition the 3D model and/or the 2D image, our approach performs dynamic, viewdependent and coordinated partitioning of both the 3D model and the 2D image.  Using a specific algorithm that follows this approach, we show that it performs better than previous approaches and scales better with both processor count and screen resolution.  Overall, our algorithm is able to achieve interactive frame rates with efficiencies of 55. 0% to 70. 5% during simulations of a system with 64 PCs. 
Strategic Procurement in TAC/SCM: An Empirical Game-Theoretic Analysis| Abstract The TAC supply-chain game presented automated trading agents with a challenging strategic problem.  Embedded within a high-dimensional stochastic environment was a pivotal strategic decision about initial procurement of components.  Early evidence suggested that the entrant field was headed toward a self-destructive, mutually unprofitable equilibrium.  Our agent, Deep Maize, introduced a preemptive strategy designed to neutralize aggressive procurement, perturbing the field to a more profitable equilibrium.  It worked.  Not only did preemption improve Deep Maize's profitability, it improved profitability for the whole field.  Whereas it is perhaps counterintuitive that action designed to prevent others from achieving their goals actually helps them, strategic analysis employing an empirical game-theoretic methodology verifies and provides insight about this outcome. 
Reinforcement Learning Algorithm for Partially Observable Markov Decision Problems| Abstract Increasing attention has been paid to reinforcement learning algorithms in recent years, partly due to successes in the theoretical analysis of their behavior in Markov environments.  If the Markov assumption is removed, however, neither generally the algorithms nor the analyses continue to be usable.  We propose and analyze a new learning algorithm to solve a certain class of non-Markov decision problems.  Our algorithm applies to problems in which the environment is Markov, but the learner has restricted access to state information.  The algorithm involves a Monte-Carlo policy evaluation combined with a policy improvement method that is similar to that of Markov decision problems and is guaranteed to converge to a local maximum.  The algorithm operates in the space of stochastic policies, a space which can yield a policy that performs considerably better than any deterministic policy.  Although the space of stochastic policies is continuous---even for a discrete action space---our algorithm is computationally tractable. 
Reinforcement Learning for 3 vs| 2 Keepaway.  Abstract.  As a sequential decision problem, robotic soccer can bene#t from research in reinforcement learning.  We introduce the 3 vs.  2 keepaway domain, a subproblem of robotic soccer implemented in the RoboCup soccer server.  We then explore reinforcement learning methods for policy evaluation and action selection in this distributed, real-time, partially observable, noisy domain.  We present empirical results demonstrating that a learned policy can dramatically outperform hand-coded policies. 
Optimizing Admission Control while Ensuring Quality of Service in Multimedia Networks via Reinforcement Learning| Abstract This paper examines the application of reinforcement learning to a telecommunications networking problem.  The problem requires that revenue be maximized while simultaneously meeting a quality of service constraint that forbids entry into certain states.  We present a general solution to this multi-criteria problem that is able to earn significantly higher revenues than alternatives. 
FAucS : An FCC Spectrum Auction Simulator for Autonomous Bidding Agents| Abstract.  We introduce FAucS, a software testbed for studying automated agent bidding strategies in simulated auctions, specifically the United States FCC wireless frequency spectrum auctions.  In addition to the complexity of these auctions, which provides ample opportunities for intelligent approaches to bidding, this type of auction has huge commercial importance, each bringing in billions of dollars to governments around the world.  We implement straightforward sample agents in FAucS and use them to replicate known beneficial bidding strategies in this type of auction.  We then discuss potential in-depth studies of autonomous bidding agent behaviors using FAucS.  The main contribution of this work is the implementation, description, and empirical validation of the FAucS testbed.  We present it as a challenging and promising AI research domain. 
Robust Reinforcement Learning in Motion Planning| Abstract While exploring to find better solutions, an agent performing online reinforcement learning (RL) can perform worse than is acceptable.  In some cases, exploration might have unsafe, or even catastrophic, results, often modeled in terms of reaching `failure' states of the agent's environment.  This paper presents a method that uses domain knowledge to reduce the number of failures during exploration.  This method formulates the set of actions from which the RL agent composes a control policy to ensure that exploration is conducted in a policy space that excludes most of the unacceptable policies.  The resulting action set has a more abstract relationship to the task being solved than is common in many applications of RL.  Although the cost of this added safety is that learning may result in a suboptimal solution, we argue that this is an appropriate tradeoff in many problems.  We illustrate this method in the domain of motion planning. 
Fast Planning in Stochastic Games| Abstract Stochastic games generalize Markov decision processes (MDPs) to a multiagent setting by allowing the state transitions to depend jointly on all player actions, and having rewards determined by multiplayer matrix games at each state.  We consider the problem of computing Nash equilibria in stochastic games, the analogue of planning in MDPs.  We begin by providing a generalization of finite-horizon value iteration that computes a Nash strategy for each player in generalsum stochastic games.  The algorithm takes an arbitrary Nash selection function as input, which allows the translation of local choices between multiple Nash equilibria into the selection of a single global Nash equilibrium.  Our main technical result is an algorithm for computing near-Nash equilibria in large or infinite state spaces.  This algorithm builds on our finite-horizon value iteration algorithm, and adapts the sparse sampling methods of Kearns, Mansour and Ng (1999) to stochastic games.  We conclude by describing a counterexample showing that infinite-horizon discounted value iteration, which was shown by Shapley to converge in the zero-sum case (a result we give extend slightly here), does not converge in the general-sum case. 
Quality of Service Guarantees in Mobile Computing| Abstract With rapid technological advances being made in the area of wireless communications it is expected that, in the near future, mobile users will be able to access a wide variety of services that will be made available over future high-speed networks.  The quality of these services in the high-speed network domain can be specified in terms of several QOS parameters.  In this paper we identify two new QOS parameters unique to the mobile environment -- guarantee of seamless service and ensuring graceful degradation of service in situations where user demands exceed the network's capacity to satisfy them.  A network architecture and a suite of transport level services are proposed that enables these QOS parameters to be satisfied. 
Cobot: A Social Reinforcement Learning Agent| Abstract We report on the use of reinforcement learning with Cobot, a software agent residing in the well-known online community LambdaMOO.  Our initial work on Cobot (Isbell et al. 2000) provided him with the ability to collect social statistics and report them to users.  Here we describe an application of RL allowing Cobot to take proactive actions in this complex social environment, and adapt behavior from multiple sources of human reward.  After 5 months of training, and 3171 reward and punishment events from 254 different LambdaMOO users, Cobot learned nontrivial preferences for a number of users, modifing his behavior based on his current state.  Here we describe LambdaMOO and the state and action spaces of Cobot, and report the statistical results of the learning experiment. 
ON THE DEGRE OF L 1 -APROXIMATION BY MODIFIED BERNSTEIN POLYNOMIALS| Abstract.  Recently many researchers like Bojani#c & Shisha, and A.  Grundmann have obtained the degree of L 1 approximation to integrable functions by modified Bernstein polynomials.  The object of the present note is to improve their results. 
Convergence Results for Single-Step On-Policy Reinforcement-Learning Algorithms| Abstract.  An important application of reinforcement learning (RL) is to
An Ecient Exact Algorithm for Singly Connected Graphical Games| Abstract We describe a new algorithm for computing a Nash equilibrium in graphical games , a compact representation for multi-agent systems that we introduced in previous work.  The algorithm is the first to compute equilibria both eciently and exactly for a non-trivial class of graphical games. 
Reinforcement Learning for Spoken Dialogue Systems| Abstract Recently, a number of authors have proposed treating dialogue systems as Markov decision processes (MDPs).  However, the practical application of MDP algorithms to dialogue systems faces a number of severe technical challenges.  We have built a general software tool (RLDS, for Reinforcement Learning for Dialogue Systems) based on the MDP framework, and have applied it to dialogue corpora gathered from two dialogue systems built at AT&T Labs.  Our experiments demonstrate that RLDS holds promise as a tool for "browsing" and understanding correlations in complex, temporally dependent dialogue corpora. 
Learning to Act Using Real-Time Dynamic Programming| Abstract Learning methods based on dynamic programming (DP) are receiving increasing attention in artificial intelligence.  Researchers have argued that DP provides the appropriate basis for compiling planning results into reactive strategies for real-time control, as well as for learning such strategies when the system being controlled is incompletely known.  We introduce an algorithm based on DP, which we call Real-Time DP (RTDP), by which an embedded system can improve its performance with experience.  RTDP generalizes Korf's Learning-Real-Time-A* algorithm to problems involving uncertainty.  We invoke results from the theory of asynchronous DP to prove that RTDP achieves optimal behavior in several different classes of problems.  We also use the theory of asynchronous DP to illuminate aspects of other DP-based reinforcement learning methods such as Watkins' Q-Learning algorithm.  A secondary aim of this article is to provide a bridge between AI research on real-time planning and learning and relevant concepts and algorithms from control theory. 
Automatic Optimization of Dialogue Management| Abstract Designing the dialogue strategy of a spoken dialogue system involves many nontrivial choices.  This paper presents a reinforcement learning approach for automatically optimizing dialogue strategy.  We first present a practical methodology that addresses the technical challenges in applying reinforcement learning to a working dialogue system with human users.  We then demonstrate how we have used this methodology to measurably improve performance in a large-scale experimental system. 
On Step-Size and Bias in Temporal-Difference Learning| Abstract We present results for three new algorithms for setting the step-size parameters, ff and , of temporaldifference learning methods such as TD( ).  The overall task is that of learning to predict the outcome of an unknown Markov chain based on repeated observations of its state trajectories.  The new algorithms select step-size parameters online in such a way as to eliminate the bias normally inherent in temporaldifference methods.  We compare our algorithms with conventional Monte Carlo methods.  Monte Carlo methods have a natural way of setting the step size: for each state s they use a step size of 1=n s , where n s is the number of times state s has been visited.  We seek and come close to achieving comparable stepsize algorithms for TD( ).  One new algorithm uses a = 1=n s schedule to achieve the same effect as processing a state backwards with TD(0), but remains completely incremental.  Another algorithm uses a at each time equal to the estimated transition probability of the current transition.  We present empirical results showing improvement in convergence rate over Monte Carlo methods and conventional TD( ).  A limitation of our results at present is that they apply only to tasks whose state trajectories do not contain cycles. 
Intrinsically Motivated Learning of Hierarchical Collections of Skills| Abstract Humans and other animals often engage in activities for their own sakes rather than as steps toward solving practical problems.  Psychologists call these intrinsically motivated behaviors.  What we learn during intrinsically motivated behavior is essential for our development as competent autonomous entities able to efficiently solve a wide range of practical problems as they arise.  In this paper we present initial results from a computational study of intrinsically motivated learning aimed at allowing artificial agents to construct and extend hierarchies of reusable skills that are needed for competent autonomy.  At the core of the model are recent theoretical and algorithmic advances in computational reinforcement learning, specifically, new concepts related to skills and new learning algorithms for learning with skill hierarchies. 
ATTac-2000: an adaptive autonomous bidding agent| Abstract The First Trading Agent Competition (TAC) was held from June 22nd to July 8th, 2000.  TAC was designed to create a benchmark problem in the complex domain of emarketplaces and to motivate researchers to apply unique approaches to a common task.  This article describes ATTac-2000, the #rst-place finisher in TAC.  ATTac-2000 uses a principled bidding strategy that includes several elements of adaptivity .  In addition to the success at the competition, isolated empirical results are presented indicating the robustness and effectiveness of ATTac-2000's adaptive strategy. 
Category: Reinforcement Learning and Control; ORAL presentation Improved Switching among Temporally Abstract Actions| Abstract In robotics and other control applications it is commonplace to have a preexisting set of controllers for solving subtasks, perhaps handcrafted or previously learned or planned, and still face a difficult problem of how to choose and switch among the controllers to solve an overall task as well as possible.  In this paper we present a framework based on Markov Decision Processes and Semi-Markov Decision Processes for phrasing this problem, a basic theorem regarding the improvement in performance that can be obtained by switching flexibly between given controllers, and example applications of the theorem.  In particular, we show how an agent can plan with these high-level controllers and then use the results of such planning to find an even better plan, by modifying the existing controllers with negligible additional cost and no replanning.  In one of our examples, the complexity of the problem is reduced from 24 billion state-action pairs to less than a million state-controller pairs.  In many applications, possible solutions to parts of a task are known, either because they were handcrafted by people or because they were previously learned or planned.  For example, in robotics applications, there may exist controllers for moving joints to positions, picking up objects, controlling eye movements, or navigating along hallways.  More generally, an intelligent system may have available to it several temporally extended courses of action to choose from.  In such cases, a key challenge is to take full advantage of the existing temporally extended actions, to choose or switch among them effectively and to plan at their level rather than at the level of individual actions.  Recently, several researchers have begun to address these challenges within the framework of reinforcement learning and Markov decision processes (e. g. , Singh, 1992; Kaelbling, 1993; Dayan & Hinton, 1993; Thrun and Schwartz, 1995; Sutton, 1995; Dietterich, 1998; Parr & Russell, 1998; McGovern, Sutton & Fagg, 1997).  Common to much of this recent work is the modeling of a temporally extended action as a policy (controller) and a condition for terminating, which we together refer to as an option (Sutton, Precup & Singh, 1998, in preparation).  In this paper we consider the problem of effectively combining given options into one overall policy.  1 Reinforcement Learning (MDP) Framework In the Markov Decision Process (MDP) framework an agent interacts with an environment at some discrete, lowest-level time scale t = 0; 1;
Graphical Models for Game Theory| Abstract We introduce a compact graph-theoretic representation for multi-party game theory.  Our main result is a provably correct and efficient algorithm for computing approximate Nash equilibria in (one-stage) games represented by trees or sparse graphs. 
Value-Driven Procurement in the TAC Supply Chain Game| Abstract The TAC supply-chain game presents automated trading agents with challenging decision problems, including procurement of supplies across multiple periods using multiattribute negotiation.  The procurement process involves substantial uncertainty and competition among multiple agents.  Our agent, Deep Maize, generates requests for components based on deviations from a reference inventory trajectory defined by estimated market conditions.  It then selects among supplier offers by optimizing a value function over potential inventory profiles.  This approach offered strategic flexibility and achieved competitive performance in the TAC-03 tournament. 
Learning and discovery of predictive state representations in dynamical systems with reset| Abstract Predictive state representations (PSRs) are a recently proposed way of modeling controlled dynamical systems.  PSR-based models use predictions of observable outcomes of tests that could be done on the system as their state representation, and have model parameters that define how the predictive state representation changes over time as actions are taken and observations noted.  Learning PSR-based models requires solving two subproblems: 1) discovery of the tests whose predictions constitute state, and 2) learning the model parameters that define the dynamics.  So far, there have been no results available on the discovery subproblem while for the learning subproblem an approximategradient algorithm has been proposed (Singh et al. , 2003) with mixed results (it works on some domains and not on others).  In this paper, we provide the first discovery algorithm and a new learning algorithm for linear PSRs for the special class of controlled dynamical systems that have a reset operation.  We provide experimental verification of our algorithms.  Finally, we also distinguish our work from prior work by Jaeger (2000) on observable operator models (OOMs). 
Theoretical Results on Reinforcement Learning with Temporally Abstract Options| Abstract.  We present new theoretical results on planning within the framework of temporally abstract reinforcement learning (Precup & Sutton, 1997; Sutton, 1995).  Temporal abstraction is a key step in any decision making system that involves planning and prediction.  In temporally abstract reinforcement learning, the agent is allowed to choose among "options", whole courses of action that may be temporally extended, stochastic, and contingent on previous events.  Examples of options include closed-loop policies such as picking up an object, as well as primitive actions such as joint torques.  Knowledge about the consequences of options is represented by special structures called multi-time models.  In this paper we focus on the theory of planning with multi-time models.  We define new Bellman equations that are satisfied for sets of multi-time models.  As a consequence, multi-time models can be used interchangeably with models of primitive actions in a variety of well-known planning methods including value iteration, policy improvement and policy iteration. 
Intra-Option Learning about Temporally Abstract Actions| Abstract Several researchers have proposed modeling temporally abstract actions in reinforcement learning by the combination of a policy and a termination condition, which we refer to as an option.  Value functions over options and models of options can be learned using methods designed for semi-Markov decision processes (SMDPs).  However, all these methods require an option to be executed to termination.  In this paper we explore methods that learn about an option from small fragments of experience consistent with that option, even if the option itself is not executed.  We call these methods intra-option learning methods because they learn from experience within an option.  Intra-option methods are sometimes much more efficient than SMDP methods because they can use off-policy temporaldifference mechanisms to learn simultaneously about all the options consistent with an experience, not just the few that were actually executed.  In this paper we present intra-option learning methods for learning value functions over options and for learning multi-time models of the consequences of options.  We present computational examples in which these new methods learn much faster than SMDP methods and learn effectively when SMDP methods cannot learn at all.  We also sketch a convergence proof for intraoption value learning. 
Draft: Please do not distribute A Nonlinear Predictive State Representation| Abstract Predictive state representations (PSRs) use predictions of a set of tests to represent the state of controlled dynamical systems.  One reason why this representation is exciting as an alternative to partially observable Markov decision processes (POMDPs) is that PSR models of dynamical systems may be much more compact than POMDP models.  Work on PSRs to date has focused on linear PSRs, which have not allowed for compression relative to POMDPs.  We introduce a new notion of tests which allows us to define a new type of PSR that is nonlinear in general and allows for exponential compression in some deterministic dynamical systems.  These new tests, called e-tests, are related to the tests used by Rivest and Schapire [1] in their work with the diversity representation, but our PSR avoids some of the pitfalls of their representation---in particular, its potential to be exponentially larger than the equivalent POMDP. 
Game Theory with Restricted Strategies (DRAFT: Please do not circulate|).  Abstract We present a theory of multiplayer games in which each player chooses their strategy from a limited class that may be significantly weaker than the class of all mixed strategies.  As in much of AI and machine learning, such restrictions may be desirable for reasons of computational tractability.  We define and study the notions of restricted Nash equilibria, local restricted Nash equilibria, and restricted security strategies.  We illustrate a number of these concepts with two well-studied games from the literature, the War of Attrition and Pricebots games, in which both players are restricted to play mixed strategies that are mixtures of Gaussians. 
Eligibility Traces for Off-Policy Policy Evaluation| Abstract Eligibility traces have been shown to speed reinforcement learning, to make it more robust to hidden states, and to provide a link between Monte Carlo and temporal-difference methods.  Here we generalize eligibility traces to off-policy learning, in which one learns about a policy different from the policy that generates the data.  Off-policy methods can greatly multiply learning, as many policies can be learned about from the same data stream, and have been identified as particularly useful for learning about subgoals and temporally extended macro-actions.  In this paper we consider the off-policy version of the policy evaluation problem, for which only one eligibility trace algorithm is known, a Monte Carlo method.  We analyze and compare this and four new eligibility trace algorithms, emphasizing their relationships to the classical statistical technique known as importance sampling.  Our main results are 1) to establish the consistency and bias properties of the new methods and 2) to empirically rank the new methods, showing improvement over one-step and Monte Carlo methods.  Our results are restricted to model-free, table-lookup methods and to offline updating (at the end of each episode) although several of the algorithms could be applied more generally.  In reinforcement learning, we generally learn from experience, that is, from the sequence of states, actions, and rewards generated by the agent interacting with its environment.  This data is affected by the decision-making policy used by the agent to select its actions, and thus we often end up learning something that is a function of the agent's policy.  For example, the common subproblem of policy evaluation is to learn the value function for the agent's policy (the function giving the expected future reward available from each state--action pair).  In general, however, we might want to learn about policies other than that currently followed by the agent, a process known as off-policy learning.  For example, 1-step Q-learning is often used in an off-policy manner, learning about the greedy policy while the data is generated by a slightly randomized policy that ensures exploration.  Off-policy learning is especially important for research on the use of temporally extended actions in reinforcement learning (
Optimizing Dialogue Management with Reinforcement Learning: Experiments with the NJFun System| Abstract Designing the dialogue policy of a spoken dialogue system involves many nontrivial choices.  This paper presents a reinforcement learning approach for automatically optimizing a dialogue policy, which addresses the technical challenges in applying reinforcement learning to a working dialogue system with human users.  We report on the design, construction and empirical evaluation of NJFun, an experimental spoken dialogue system that provides users with access to information about fun things to do in New Jersey.  Our results show that by optimizing its performance via reinforcement learning, NJFun measurably improves system performance. 
Performance of TCP over Different Routing Protocols in Mobile Ad-Hoc Networks| Abstract---TCP/IP is the standard networking protocol on the internet and is also the most widely used.  Due to these reasons, its use over Mobile Ad-Hoc networks is a certainty.  Ad-Hoc networks are prone to link failures due to mobility.  TCP is unable to distinguish between losses due to route failures and losses due to congestion.  As a result, throughput degrades significantly when nodes move.  It is therefore essential to study how TCP performs over ad-hoc networks.  We have used simulations in the cmu extension to ns to analyse the performance of TCP Tahoe over a set of routing protocols including the Signal Stability Adaptive routing protocol which we have implemented in ns-2.  We identify characteristics in each of these routing protocols that determine the behaviour of TCP over them. 
Cobot in LambdaMOO: A Social Statistics Agent| Abstract We describe our development of Cobot, a software agent who lives in LambdaMOO, a popular virtual world frequented by hundreds of users.  We present a detailed discussion of the functionality that has made him one of the objects most frequently interacted with in LambdaMOO, human or artificial. 
On the Complexity of Policy Iteration| Abstract Decision-making problems in uncertain or stochastic domains are often formulated as Markov decision processes (MDPs).  Policy iteration (PI) is a popular algorithm for searching over policy-space, the size of which is exponential in the number of states.  We are interested in bounds on the complexity of PI that do not depend on the value of the discount factor.  In this paper we prove the first such non-trivial, worst-case, upper bounds on the number of iterations required by PI to converge to the optimal policy. 
An Efficient, Exact Algorithm for Solving Tree-Structured Graphical Games| Abstract We describe a new algorithm for computing a Nash equilibrium in graphical games , a compact representation for multi-agent systems that we introduced in previous work.  The algorithm is the first to compute equilibria both eciently and exactly for a non-trivial class of graphical games. 
Convergence of Stochastic Iterative Dynamic Programming Algorithms| Abstract Increasing attention has recently been paid to algorithms based on dynamic programming (DP) due to the suitability of DP for learning problems involving control.  In stochastic environments where the system being controlled is only incompletely known, however, a unifying theoretical account of the behavior of these methods has been missing.  In this paper we relate DP-based learning algorithms to powerful techniques of stochastic approximation via a new convergence theorem, enabling us to establish a class of convergent algorithms to which both TD(#) and Q-learning belong. 
On the Convergence of Stochastic Iterative Dynamic Programming Algorithms| Abstract Recent developments in the area of reinforcement learning have yielded a number of new algorithms for the prediction and control of Markovian environments.  These algorithms, including the TD( ) algorithm of Sutton (1988) and the Q-learning algorithm of Watkins (1989), can be motivated heuristically as approximations to dynamic programming (DP).  In this paper we provide a rigorous proof of convergence of these DP-based learning algorithms by relating them to the powerful techniques of stochastic approximation theory via a new convergence theorem.  The theorem establishes a general class of convergent algorithms to which both TD( ) and Q-learning belong.  An important component of many real world learning problems is the temporal credit assignment problem---the problem of assigning credit or blame to individual components of a temporally-extended plan of action, based on the success or failure of the plan as a whole.  To solve such a problem, the learner must be equipped with the ability to assess the long-term consequences of particular choices of action and must be willing to forego an immediate payoff for the prospect of a longer term gain.  Moreover, because most real world problems involving prediction of the future consequences of actions involve substantial uncertainty, the learner must be prepared to make use of a probability calculus for assessing and comparing actions.  There has been increasing interest in the temporal credit assignment problem, due principally to the development of learning algorithms based on the theory of dynamic programming (DP) (Barto, Sutton,
Reinforcement Learning with a Hierarchy of Abstract Models|
Distributed representations of limb motor programs in arrays of adjustable pattern generators|
Thermodynamics of nonrelativistic free quark gas //|
Power-Aware Routing in Mobile Ad Hoc Networks|
On approximation by modified Szasz operators|
On random approximations and a random fixed point theorem for set valued mappings,|
An adaptive sensorimotor network simulation inspired by the anatomy and physiology of the cerebellum|
Scalable Routing Protocol for Ad Hoc Networks|
Asymptotically optimal Gossiping in Radio Networks|
Total tree volume table for Tectona grandis (teak)|
On approximating fixed points,|
Route-Lifetime Assessment Based Routing (RABR) Protocol for Mobile Ad-Hoc Networks|
How to Dynamically Merge Markov Decision Processes|
On the Computational Economics of Reinforcement Learning|
Analytical Mean Squared Error Curves for Temporal Dierence|
Learning to Solve Markovian Decision Processes|
Transfer of learning across compositions of sequential tasks|
Recurrent Finsler space of second order,|
Proximity maps and fixed points,|
A theorem on best approximations,|
